vehicle_id,priority_rank,mark,model,generation,restyling,body_type,year_from,year_to,origin_category,vehicle_type_category,ads_count,avg_price_inflation_adj,avg_age,score_origin,score_type,score_ads,score_price,score_age,priority_score,has_real_metrics,ready_for_3d_search,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,dimensions_source_url,model_3d_status,model_3d_source,model_file_path,format,scale_check_status,materials_editable,data_quality_note
lada_priora_g1_r1_sedan,1,lada,Приора,1,1,седан,2013,2018,да,легковые,280509.0,312899.96048782754,10.5,1.0,1.0,1.0,0.002644785702643817,0.9074074074074074,0.8411374585961373,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_priora_g1_r1_xetchbek 3 dv,2,lada,Приора,1,1,хэтчбек 3 дв.,2013,2015,да,легковые,280509.0,312899.96048782754,12.0,1.0,1.0,1.0,0.002644785702643817,0.8935185185185185,0.8397485697072484,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_priora_g1_r1_universal,3,lada,Приора,1,1,универсал,2013,2015,да,легковые,280509.0,312899.96048782754,12.0,1.0,1.0,1.0,0.002644785702643817,0.8935185185185185,0.8397485697072484,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_priora_g1_r1_xetchbek 5 dv,4,lada,Приора,1,1,хэтчбек 5 дв.,2013,2015,да,легковые,280509.0,312899.96048782754,12.0,1.0,1.0,1.0,0.002644785702643817,0.8935185185185185,0.8397485697072484,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_priora_g1_r0_xetchbek 3 dv,5,lada,Приора,1,0,хэтчбек 3 дв.,2010,2013,да,легковые,280509.0,312899.96048782754,14.5,1.0,1.0,1.0,0.002644785702643817,0.8703703703703703,0.8374337548924335,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_priora_g1_r0_xetchbek 5 dv,6,lada,Приора,1,0,хэтчбек 5 дв.,2008,2014,да,легковые,280509.0,312899.96048782754,15.0,1.0,1.0,1.0,0.002644785702643817,0.8657407407407407,0.8369707919294707,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_priora_g1_r0_universal,7,lada,Приора,1,0,универсал,2008,2013,да,легковые,280509.0,312899.96048782754,15.5,1.0,1.0,1.0,0.002644785702643817,0.8611111111111112,0.8365078289665077,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_priora_g1_r0_sedan,8,lada,Приора,1,0,седан,2007,2014,да,легковые,280509.0,312899.96048782754,15.5,1.0,1.0,1.0,0.002644785702643817,0.8611111111111112,0.8365078289665077,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_2114 samara_g1_r0_xetchbek 5 dv,9,lada,2114 Самара,1,0,хэтчбек 5 дв.,2001,2014,да,легковые,241552.0,170681.44513545738,18.5,1.0,1.0,0.8611203205601247,0.001442684253130175,0.8333333333333334,0.7988298161113341,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_2107_g1_r0_sedan,10,lada,2107,1,0,седан,1982,2012,да,легковые,227747.0,110856.34778170515,29.0,1.0,1.0,0.8119062133478783,0.0009370128497404209,0.7361111111111112,0.7767282163755418,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
